gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3089270965	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1862	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.925	-80.9833	0.11	1.0E-6					2002-04-21T11:12	21	4	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1862	304_1862		2002-04-21T11:12:00	CC_BY_NC_4_0					2025-01-31T23:57:36.473Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270964	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1861	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9167	-80.9767	0.11	1.0E-6					2002-04-21T10:40	21	4	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1861	304_1861		2002-04-21T10:40:00	CC_BY_NC_4_0					2025-01-31T23:57:36.471Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270963	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1860	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9217	-80.965	0.11	1.0E-6					2002-04-21T10:13	21	4	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1860	304_1860		2002-04-21T10:13:00	CC_BY_NC_4_0					2025-01-31T23:57:36.470Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270962	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1851	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9133	-80.9383	0.11	1.0E-6					2001-10-21T10:32	21	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1851	304_1851		2001-10-21T10:32:00	CC_BY_NC_4_0					2025-01-31T23:57:36.471Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270961	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1863	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9217	-80.9833	0.11	1.0E-6					2002-07-20T09:37	20	7	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1863	304_1863		2002-07-20T09:37:00	CC_BY_NC_4_0					2025-01-31T23:57:36.471Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270960	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1866	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9133	-80.9383	0.11	1.0E-6					2002-07-21T10:12	21	7	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1866	304_1866		2002-07-21T10:12:00	CC_BY_NC_4_0					2025-01-31T23:57:36.471Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270959	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1865	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9217	-80.97	0.11	1.0E-6					2002-07-21T09:54	21	7	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1865	304_1865		2002-07-21T09:54:00	CC_BY_NC_4_0					2025-01-31T23:57:36.471Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270958	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1867	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.925	-80.9717	0.11	1.0E-6					2003-01-18T08:54	18	1	2003	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1867	304_1867		2003-01-18T08:54:00	CC_BY_NC_4_0					2025-01-31T23:57:36.470Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270957	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1857	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9233	-80.9683	0.11	1.0E-6					2002-04-20T10:17	20	4	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1857	304_1857		2002-04-20T10:17:00	CC_BY_NC_4_0					2025-01-31T23:57:36.469Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089270956	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1853	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.91	-80.93	0.11	1.0E-6					2002-01-20T09:57	20	1	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1853	304_1853		2002-01-20T09:57:00	CC_BY_NC_4_0					2025-01-31T23:57:36.470Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
